"","SampleID","HF","Depth","sample_mass_g","C_loss_as_CO2","week","mg_C_per_sample","g_of_sample_mass"
"1","1","High","Surface",15,0.013219983,"12","5.812008694041","79.9293"
"2","2","High","Surface",15.01,0.000179225,"12","7.29523833664","79.936"
"3","3","High","Surface",15,0.000242096,"12","7.170989464278","79.9462"
"4","4","High","Surface",14.99,0.000415038,"12","6.8146703101575","79.9421"
"5","5","High","Surface",15.01,0.000368532,"12","9.275536711414","79.9132"
"6","6","High","1 cm",15.01,0.000263366,"12","6.621216277342","80.0126"
"7","7","High","1 cm",15,0.000159696,"12","6.269465863646","80.0108"
"8","8","High","1 cm",15,7.32889999999998e-05,"12","7.47493446916","80.0048"
"9","9","High","1 cm",15.01,0.00028905,"12","8.8062283291815","80.0079"
"10","10","High","1 cm",15.01,0.000268896,"12","7.442896933233","80.0091"
"11","11","High","5 cm",15,0.001403925,"12","467.765705673567","80.7318"
"12","12","High","5 cm",14.99,0.001418376,"12","490.023153477871","80.7326"
"13","13","High","5 cm",14.99,0.001313041,"12","482.641262526843","80.7282"
"14","14","High","5 cm",14.99,0.001665803,"12","471.187206362453","80.7362"
"15","15","High","5 cm",15.01,0.001286668,"12","453.942644224568","80.7316"
"17","16","Low","Surface",15,-4.99220000000001e-05,"12","66.9359332921265","80.0597"
"18","17","Low","Surface",15,0.000284522,"12","57.5552743843665","80.0639"
"19","18","Low","Surface",15.01,0.000317533,"12","58.177099372644","80.0604"
"20","19","Low","Surface",15,0.000265567,"12","69.594211836765","80.0667"
"21","20","Low","Surface",15.01,0.000244223,"12","63.9391802139855","80.0649"
"22","21","Low","1 cm",15.01,0.001456166,"12","392.31800712963","80.5821"
"23","22","Low","1 cm",15,0.001122905,"12","367.06187852338","80.5726"
"24","23","Low","1 cm",15.01,0.001719955,"12","363.837539177348","80.5845"
"25","24","Low","1 cm",14.99,0.001395282,"12","321.796911759561","80.5726"
"26","25","Low","1 cm",14.99,0.001176035,"12","376.528062826892","80.5715"
"27","26","Low","5 cm",15.01,0.000762881,"12","765.32772976509","80.9535"
"28","27","Low","5 cm",15,0.000900769,"12","770.427604482291","80.9361"
"29","28","Low","5 cm",15.01,0.000914555,"12","774.408944938255","80.9435"
"30","29","Low","5 cm",15,0.000895014,"12","777.6298067812","80.9524"
"31","30","Low","5 cm",15.01,0.000832432,"12","769.116061377529","80.9513"
"33","31","Control","Surface",15.01,0.000756177,"12","781.623063866952","80.9904"
"34","32","Control","Surface",14.99,0.000904788,"12","774.665860569703","80.9957"
"35","33","Control","Surface",14.99,0.000906859,"12","762.4007741146","80.9937"
"36","34","Control","Surface",14.99,0.000791874,"12","798.125129606775","80.987"
"37","35","Control","Surface",15.01,0.000840235,"12","772.739861994198","80.9879"
"38","36","Control","1 cm",14.99,0.000923094,"12","793.386989797608","80.9959"
"39","37","Control","1 cm",15,0.001043502,"12","768.583224259895","80.9954"
"40","38","Control","1 cm",15.01,0.000949199,"12","797.33755634904","80.9892"
"41","39","Control","1 cm",15.02,0.000703979,"12","787.84062546528","80.9856"
"42","40","Control","1 cm",15,0.000839931,"12","766.449918282987","80.9873"
"43","41","Control","5 cm",15,0.000701538,"12","791.87733451923","80.9989"
"44","42","Control","5 cm",15,0.000761588,"12","799.744461446733","81.0049"
"45","43","Control","5 cm",14.99,0.000968653,"12","783.862763637168","81.0072"
"46","44","Control","5 cm",15.01,0.000850628,"12","772.897396772172","81.0012"
"47","45","Control","5 cm",14.99,0.000756478,"12","813.18234471641","81.0033"
