row,column,rep,Sample ID,Heat Flux,Depth,mass aimed,tin mass,aimed total mass,measured total mass,sample mass
A,1,1,11,high,5 cm,60,35.349,95.349,94.273,58.924
A,2,1,12,high,5 cm,60,33.143,93.143,93.514,60.371
A,3,1,13,high,5 cm,60,33.486,93.486,94.536,61.05
A,4,1,14,high,5 cm,60,33.359,93.359,94.797,61.438
A,5,1,15,high,5 cm,60,32.847,92.847,91.736,58.889
A,6,1,16,low,surface,150,58.315,208.315,209.956,151.641
A,7,1,17,low,surface,150,56.767,206.767,206.535,149.768
A,8,1,18,low,surface,150,57.323,207.323,206.334,149.011
A,9,1,19,low,surface,150,59.065,209.065,208.338,149.273
A,10,1,20,low,surface,150,56.658,206.658,206.886,150.228
A,11,1,21,low,1 cm,60,33.712,93.712,94.934,61.222
A,12,1,22,low,1 cm,60,34.212,94.212,94.396,60.184
B,1,1,23,low,1 cm,60,34.474,94.474,94.733,60.259
B,2,1,24,low,1 cm,60,34.819,94.819,94.108,59.289
B,3,1,25,low,1 cm,60,33.835,93.835,94.261,60.426
B,4,1,26,low,5 cm,60,33.578,93.578,94.316,60.738
B,5,1,27,low,5 cm,60,33.163,93.163,93.147,59.984
B,6,1,28,low,5 cm,60,34.03,94.03,93.759,59.729
B,7,1,29,low,5 cm,60,32.384,92.384,92.739,60.355
B,8,1,30,low,5 cm,60,34.306,94.306,93.842,59.536
B,9,1,31,control,surface,60,33.591,93.591,94.174,60.583
B,10,1,32,control,surface,60,34.252,94.252,94.316,60.064
B,11,1,33,control,surface,60,33.644,93.644,94.66,61.016
B,12,1,34,control,surface,60,33.569,93.569,94.673,61.104
C,1,1,35,control,surface,60,35.023,95.023,95.949,60.926
C,2,1,36,control,1 cm,60,33.919,93.919,93.298,59.379
C,3,1,37,control,1 cm,60,33.761,93.761,93.299,59.538
C,4,1,38,control,1 cm,60,34.425,94.425,94.481,60.056
C,5,1,39,control,1 cm,60,34.802,94.802,95.569,60.767
C,6,1,40,control,1 cm,60,33.532,93.532,94.081,60.549
C,7,1,41,control,5 cm,60,33.478,93.478,93.467,59.989
C,8,1,42,control,5 cm,60,34.607,94.607,93.56,58.953
C,9,1,43,control,5 cm,60,34.457,94.457,93.449,58.992
C,10,1,44,control,5 cm,60,34.184,94.184,95.002,60.818
C,11,1,45,control,5 cm,60,33.486,93.486,93.079,59.593
C,12,2,11,high,5 cm,60,34.838,94.838,95.245,60.407
D,1,2,12,high,5 cm,60,33.274,93.274,93.205,59.931
D,2,2,13,high,5 cm,60,33.641,93.641,94.165,60.524
D,3,2,14,high,5 cm,60,34.212,94.212,94.049,59.837
D,4,2,15,high,5 cm,60,33.733,93.733,94.2,60.467
D,5,2,16,low,surface,150,59.608,209.608,208.856,149.248
D,6,2,17,low,surface,150,59.173,209.173,209.7,150.527
D,7,2,18,low,surface,150,57.054,207.054,206.47,149.416
D,8,2,19,low,surface,150,58.405,208.405,207.917,149.512
D,9,2,20,low,surface,150,57.572,207.572,208.724,151.152
D,10,2,21,low,1 cm,60,34.59,94.59,95.318,60.728
D,11,2,22,low,1 cm,60,32.744,92.744,92.998,60.254
D,12,2,23,low,1 cm,60,35.111,95.111,95.053,59.942
E,1,2,24,low,1 cm,60,33.596,93.596,93.603,60.007
E,2,2,25,low,1 cm,60,33.579,93.579,93.972,60.393
E,3,2,26,low,5 cm,60,34.155,94.155,95.276,61.121
E,4,2,27,low,5 cm,60,34.068,94.068,93.701,59.633
E,5,2,28,low,5 cm,60,33.899,93.899,93.455,59.556
E,6,2,29,low,5 cm,60,34.975,94.975,94.832,59.857
E,7,2,30,low,5 cm,60,34.017,94.017,93.11,59.093
E,8,2,31,control,surface,60,34.575,94.575,94.471,59.896
E,9,2,32,control,surface,60,33.721,93.721,94.159,60.438
E,10,2,33,control,surface,60,33.477,93.477,93.246,59.769
E,11,2,34,control,surface,60,33.91,93.91,93.255,59.345
E,12,2,35,control,surface,60,34.094,94.094,94.361,60.267
F,1,2,36,control,1 cm,60,33.023,93.023,92.721,59.698
F,2,2,37,control,1 cm,60,34.355,94.355,93.276,58.921
F,3,2,38,control,1 cm,60,33.811,93.811,93.829,60.018
F,4,2,39,control,1 cm,60,34.017,94.017,94.433,60.416
F,5,2,40,control,1 cm,60,33.515,93.515,94.373,60.858
F,6,2,41,control,5 cm,60,34.538,94.538,95.215,60.677
F,7,2,42,control,5 cm,60,32.788,92.788,93.342,60.554
F,8,2,43,control,5 cm,60,33.257,93.257,94.513,61.256
F,9,2,44,control,5 cm,60,34.006,94.006,94.521,60.515
F,10,2,45,control,5 cm,60,32.542,92.542,93.079,60.537
