Tray,row,column,rep,Sample ID,Heat Flux,Depth,mass aimed,tin mass,aimed total mass,measured total mass,sample mass,,
2,A,1,1,2,high,surface,200,58.357,258.357,258.686,200.329,,redo for missing a rep or autosampler malfunction
2,A,2,1,3,high,surface,200,59.114,259.114,258.834,199.72,,
2,A,3,1,4,high,surface,200,59.212,259.212,260.968,201.756,,
2,A,4,1,5,high,surface,200,60.379,260.379,261.365,200.986,,
2,A,5,1,6,high,1 cm,200,57.97,257.97,257.861,199.891,,
2,A,6,1,7,high,1 cm,200,58.724,258.724,258.153,199.429,,
2,A,7,1,8,high,1 cm,200,57.488,257.488,257.98,200.492,,
2,A,8,1,9,high,1 cm,200,58.702,258.702,257.51,198.808,,
2,B,1,1,10,high,1 cm,200,59.358,259.358,260.564,201.206,,
2,B,2,2,9,high,1 cm,200,57.423,257.423,258.344,200.921,,
2,B,3,2,10,high,1 cm,200,58.306,258.306,258.24,199.934,,
2,B,4,1,16,low,surface,200,57.728,257.728,258.481,200.753,,
2,B,5,1,17,low,surface,200,57.65,257.65,256.563,198.913,,redo for changing a detectable mass
2,B,6,1,18,low,surface,200,61.81,261.81,261.928,200.118,,
2,B,7,1,19,low,surface,200,63.281,263.281,264.093,200.812,,
2,B,8,1,20,low,surface,200,63.427,263.427,264.585,201.158,,
2,C,1,2,16,low,surface,200,58.169,258.169,258.076,199.907,,
2,C,2,2,17,low,surface,200,57.896,257.896,259.32,201.424,,
2,C,3,2,18,low,surface,200,64.067,264.067,262.29,198.223,,
2,C,4,2,19,low,surface,200,62.051,262.051,261.414,199.363,,
2,C,5,2,20,low,surface,200,62.952,262.952,262.571,199.619,,
2,C,6,,bypass1-200,20,,200,62.414,262.414,262.302,199.888,,
2,C,7,,bypass2-200,19,,200,63.421,263.421,263.587,200.166,,
2,C,8,,blank-big1,,,,61.853,,,,,
2,D,1,,blank-big2,,,,61.617,,,,,
2,D,2,1,21,low,1 cm,60,33.454,93.454,93.184,59.73,,
2,D,3,1,36,control,1 cm,60,33.524,93.524,92.95,59.426,,
2,D,4,2,25,low,1 cm,60,33.957,93.957,93.294,59.337,,
2,D,5,2,44,control,5 cm,60,34.071,94.071,93.751,59.68,,
2,D,6,,bypass1-60,44,,60,34.44,94.44,93.578,59.138,,
,D,7,,bypass2-60,44,,60,34.253,94.253,95.823,61.57,,
,D,8,,blank-small1,,,,33.284,33.284,,,,
,E,1,,blank-small2,,,,33.385,33.385,,,,
,E,2,,silica60,,,60,34.248,94.248,94.24,59.992,,
,E,3,,silica200,,,200,62.681,262.681,262.452,199.771,,
,,,,,,,,,,,,,
