Sample Name,Sample Type,Start Time,End Time,Vial #,Turbo,Autoreagents,ICR,Flush Time (sec),TOC Average (ppb),TOC Standard Deviation (ppb),TOC RSD (%),IC Average (ppb),IC Standard Deviation (ppb),IC RSD (%),TC Average (ppb),TC Standard Deviation (ppb),TC RSD (%),
IB1,Sample,04/05/2023 10:04:45,04/05/2023 10:32:27,1,False,True,False,240,9.97,1.08,10.8,64.3,5.8,9.02,74.2,6.36,8.56,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 10:04:45,04/05/2023 10:26:27,5.6,64.9,70.5,0.3,0,,,,,,,,,,,
2,04/05/2023 10:26:27,04/05/2023 10:28:27,9.2,67.1,76.3,0.3,0,,,,,,,,,,,
3,04/05/2023 10:28:27,04/05/2023 10:30:27,11.2,68.1,79.3,0.3,0,,,,,,,,,,,
4,04/05/2023 10:30:27,04/05/2023 10:32:27,9.5,57.6,67.1,0.3,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
IB2,Sample,04/05/2023 10:32:40,04/05/2023 11:00:58,2,False,True,False,240,10.7,0.58,5.41,85.2,1.4,1.64,95.9,1.81,1.89,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 10:32:40,04/05/2023 10:54:58,< 4.00,91.3,95.2,0.3,0,,,,,,,,,,,
2,04/05/2023 10:54:58,04/05/2023 10:56:58,11,86.8,97.8,0.3,0,,,,,,,,,,,
3,04/05/2023 10:56:58,04/05/2023 10:58:59,11,84.6,95.6,0.3,0,,,,,,,,,,,
4,04/05/2023 10:58:59,04/05/2023 11:00:58,10,84.2,94.2,0.3,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SB,Sample,04/05/2023 11:01:12,04/05/2023 11:29:30,3,False,True,False,240,13400,208,1.55,1710,5.77,0.34,15100,208,1.38,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 11:01:12,04/05/2023 11:23:30,13400,1690,15100,1,2.3,,,,,,,,,,,
2,04/05/2023 11:23:30,04/05/2023 11:25:30,13500,1710,15200,1,2.3,,,,,,,,,,,
3,04/05/2023 11:25:30,04/05/2023 11:27:30,13200,1700,14900,1,2.3,,,,,,,,,,,
4,04/05/2023 11:27:30,04/05/2023 11:29:30,13600,1710,15300,1,2.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Sample,04/05/2023 11:29:43,04/05/2023 11:58:00,4,False,True,False,240,13700,57.7,0.42,2790,5.77,0.21,16500,57.7,0.35,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 11:29:43,04/05/2023 11:51:59,13600,2770,16400,1,2.2,,,,,,,,,,,
2,04/05/2023 11:51:59,04/05/2023 11:54:00,13800,2800,16600,1,2.2,,,,,,,,,,,
3,04/05/2023 11:54:00,04/05/2023 11:55:59,13700,2790,16500,1,2.2,,,,,,,,,,,
4,04/05/2023 11:55:59,04/05/2023 11:58:00,13700,2790,16500,1,2.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2,Sample,04/05/2023 11:58:13,04/05/2023 12:26:19,5,False,True,False,240,11000,57.7,0.52,2980,0,0,14000,57.7,0.41,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 11:58:13,04/05/2023 12:20:19,11000,2960,14000,1,1.9,,,,,,,,,,,
2,04/05/2023 12:20:19,04/05/2023 12:22:19,11100,2980,14100,1,1.9,,,,,,,,,,,
3,04/05/2023 12:22:19,04/05/2023 12:24:19,11000,2980,14000,1,1.9,,,,,,,,,,,
4,04/05/2023 12:24:19,04/05/2023 12:26:19,11000,2980,14000,1,1.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
3,Sample,04/05/2023 12:26:31,04/05/2023 12:54:37,6,False,True,False,240,10900,< 0.03,< 0.03,2820,11.5,0.41,13700,0,0,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 12:26:31,04/05/2023 12:48:37,10800,2810,13600,1,1.9,,,,,,,,,,,
2,04/05/2023 12:48:37,04/05/2023 12:50:37,10900,2830,13700,1,1.9,,,,,,,,,,,
