Sample Name,Lot #,Sample Type,Start Time,End Time,Vial #,Turbo,Autoreagents,ICR,Flush Time (sec),TOC Average (ppb),TOC Standard Deviation (ppb),TOC RSD (%),IC Average (ppb),IC Standard Deviation (ppb),IC RSD (%),TC Average (ppb),TC Standard Deviation (ppb),TC RSD (%),
ib1,,Sample,05/08/2023 13:19:24,05/08/2023 13:47:06,1,False,True,False,240,10.7,0.86,8.08,64.7,2.97,4.59,75.4,3.61,4.79,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,,05/08/2023 13:19:24,05/08/2023 13:41:06,6.6,56,62.6,0.3,0,,,,,,,,,,,
2,,05/08/2023 13:41:06,05/08/2023 13:43:06,9.9,61.3,71.2,0.3,0,,,,,,,,,,,
3,,05/08/2023 13:43:06,05/08/2023 13:45:07,11.6,66,77.6,0.3,0,,,,,,,,,,,
4,,05/08/2023 13:45:07,05/08/2023 13:47:06,10.5,66.8,77.3,0.3,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ib2,,Sample,05/08/2023 13:47:19,05/08/2023 14:15:38,2,False,True,False,240,12.5,0.87,6.97,48.9,0.75,1.53,61.5,0.61,0.99,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,,05/08/2023 13:47:19,05/08/2023 14:09:38,8.4,46,54.4,0.3,0,,,,,,,,,,,
2,,05/08/2023 14:09:38,05/08/2023 14:11:38,13.5,48.5,62,0.3,0,,,,,,,,,,,
3,,05/08/2023 14:11:38,05/08/2023 14:13:38,12.3,48.5,60.8,0.3,0,,,,,,,,,,,
4,,05/08/2023 14:13:38,05/08/2023 14:15:38,11.8,49.8,61.6,0.3,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
sb1,,Sample,05/08/2023 14:15:51,05/08/2023 14:44:10,3,False,True,False,240,7010,15.3,0.22,1980,10,0.51,8990,25.2,0.28,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,,05/08/2023 14:15:51,05/08/2023 14:38:09,6950,1950,8900,1,1.1,,,,,,,,,,,
2,,05/08/2023 14:38:09,05/08/2023 14:40:09,7010,1980,8990,1,1.1,,,,,,,,,,,
3,,05/08/2023 14:40:09,05/08/2023 14:42:09,7030,1990,9020,1,1.1,,,,,,,,,,,
4,,05/08/2023 14:42:09,05/08/2023 14:44:10,7000,1970,8970,1,1.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
sb2,,Sample,05/08/2023 14:44:22,05/08/2023 15:12:27,4,False,True,False,240,6980,41.6,0.6,2020,5.77,0.29,9010,40.4,0.45,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,,05/08/2023 14:44:22,05/08/2023 15:06:27,6920,2020,8940,1,1.4,,,,,,,,,,,
2,,05/08/2023 15:06:27,05/08/2023 15:08:27,6970,2030,9000,1,1.4,,,,,,,,,,,
3,,05/08/2023 15:08:27,05/08/2023 15:10:27,6950,2020,8970,1,1.4,,,,,,,,,,,
4,,05/08/2023 15:10:27,05/08/2023 15:12:27,7030,2020,9050,1,1.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
sb3,,Sample,05/08/2023 15:12:39,05/08/2023 15:40:49,5,False,True,False,240,7790,20.8,0.27,2080,5.77,0.28,9860,23.1,0.23,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,,05/08/2023 15:12:39,05/08/2023 15:34:49,7750,2070,9820,1,1.3,,,,,,,,,,,
2,,05/08/2023 15:34:49,05/08/2023 15:36:49,7770,2080,9850,1,1.3,,,,,,,,,,,
3,,05/08/2023 15:36:49,05/08/2023 15:38:49,7780,2070,9850,1,1.3,,,,,,,,,,,
4,,05/08/2023 15:38:49,05/08/2023 15:40:49,7810,2080,9890,1,1.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
24,,Sample,05/08/2023 15:41:02,05/08/2023 16:09:06,6,False,True,False,240,21000,208,0.99,1530,10,0.65,22500,208,0.93,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,,05/08/2023 15:41:02,05/08/2023 16:03:06,20900,1500,22400,1,3.3,,,,,,,,,,,
2,,05/08/2023 16:03:06,05/08/2023 16:05:06,20800,1520,22300,1,3.3,,,,,,,,,,,
3,,05/08/2023 16:05:06,05/08/2023 16:07:07,20900,1530,22400,1,3.3,,,,,,,,,,,
4,,05/08/2023 16:07:07,05/08/2023 16:09:06,21200,1540,22700,1,3.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
43,,Sample,05/08/2023 16:09:19,05/08/2023 16:37:27,7,False,True,False,240,21600,173,0.8,1690,5.77,0.34,23300,173,0.74,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,,05/08/2023 16:09:19,05/08/2023 16:31:27,22000,1670,23700,1,3.6,,,,,,,,,,,
2,,05/08/2023 16:31:27,05/08/2023 16:33:27,21500,1680,23200,1,3.6,,,,,,,,,,,
3,,05/08/2023 16:33:27,05/08/2023 16:35:27,21800,1690,23500,1,3.6,,,,,,,,,,,
4,,05/08/2023 16:35:27,05/08/2023 16:37:27,21500,1690,23200,1,3.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ib3,,Sample,05/08/2023 16:37:40,05/08/2023 17:05:48,8,False,True,False,240,151,15,9.93,98.4,1.77,1.8,250,16.5,6.61,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,,05/08/2023 16:37:40,05/08/2023 16:59:48,156,104,260,0.3,0,,,,,,,,,,,
2,,05/08/2023 16:59:48,05/08/2023 17:01:47,166,100,266,0.3,0,,,,,,,,,,,
3,,05/08/2023 17:01:47,05/08/2023 17:03:47,151,98.7,250,0.3,0,,,,,,,,,,,
4,,05/08/2023 17:03:47,05/08/2023 17:05:48,136,96.5,233,0.3,0,,,,,,,,,,,
