SampleID,labelID,rep,HF,Depth,WHC,inoculant_added_g,stir,sample_mass_g,KOH_concentration_M,KOH_volume_mL,start_date,start_time,end_time,EC_raw_ms/cm,EC_final_4wk_ms/cm,T,EC_sat_ms/cm,C-CO2_g,note,
1,46,2,High,Surface,55%,2.05,y,15,0.05,15,2/21/23,12:05,,10.52545455,8.428,23.4,5.4596,0.001864877,a. record the time,
2,47,2,High,Surface,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.52545455,10.01,23.1,5.4596,0.000458298,b. add inoculant,
3,48,2,High,Surface,55%,2.05,y,15,0.05,15,2/21/23,,,10.52545455,9.959,23.3,5.4596,0.000503643,c. stir the sample with a bar,
4,49,2,High,Surface,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.52545455,9.893,23.3,5.4596,0.000562325,d. place the sample vial in,
5,50,2,High,Surface,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.52545455,9.908,23.2,5.4596,0.000548988,e. add 5ml water,
6,51,2,High,1 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.52545455,9.961,22.7,5.4596,0.000501865,"f. pump 1 vial KOH, place in",
7,52,2,High,1 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.52545455,10.01,22.9,5.4596,0.000458298,g. screw the cap tight,
8,53,2,High,1 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.52545455,10.09,22.5,5.4596,0.000387169,each end time is when I put the batch of jars in the incubator,
9,54,2,High,1 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.52545455,10.02,22.8,5.4596,0.000449407,we need to make 2L 0.05M KOH!!! And 3L CO2 free water for the KOH and incubation!!!!,
10,55,2,High,1 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.52545455,10.01,22.6,5.4596,0.000458298,have a lot of KOH in the bottle can avoid bubble up,
11,56,2,High,5 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.52545455,9.733,22.5,5.4596,0.000704583,,
12,57,2,High,5 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.52545455,9.75,22.6,5.4596,0.000689468,,
13,58,2,High,5 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.52545455,9.849,22.1,5.4596,0.000601446,,
14,59,2,High,5 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.52545455,9.591,22.3,5.4596,0.000830837,,
15,60,2,High,5 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.52545455,9.887,22,5.4596,0.000567659,,
B1-2,B1-2,2,blank sand,,55%,2.05,y,15.01,0.05,15,2/21/23,,12:49,10.52545455,9.988,22.5,5.4596,0.000477859,,
16,61,2,Low,Surface,55%,2.05,y,15,0.05,15,2/21/23,1:08,,10.52545455,9.972,24.2,5.4596,0.000492084,,
17,62,2,Low,Surface,55%,2.05,y,15,0.05,15,2/21/23,,,10.52545455,10.06,23.5,5.4596,0.000413842,,
18,63,2,Low,Surface,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.52545455,9.98,23.9,5.4596,0.000484972,,
19,64,2,Low,Surface,55%,2.05,y,15,0.05,15,2/21/23,,,10.52545455,10.06,23.2,5.4596,0.000413842,,
20,65,2,Low,Surface,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.52545455,9.956,23.8,5.4596,0.00050631,,
21,66,2,Low,1 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.52545455,9.825,22.7,5.4596,0.000622784,,
22,67,2,Low,1 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.52545455,9.872,23.4,5.4596,0.000580996,,
23,68,2,Low,1 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.52545455,9.768,23.2,5.4596,0.000673464,,
24,69,2,Low,1 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.52545455,9.825,23.4,5.4596,0.000622784,,
25,70,2,Low,1 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.52545455,9.847,22.7,5.4596,0.000603224,,
26,71,2,Low,5 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.52545455,9.909,22.8,5.4596,0.000548099,,
27,72,2,Low,5 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.52545455,9.872,22.6,5.4596,0.000580996,,
28,73,2,Low,5 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.52545455,9.908,22.8,5.4596,0.000548988,,
29,74,2,Low,5 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.52545455,9.79,22.8,5.4596,0.000653903,,
30,75,2,Low,5 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.52545455,9.885,22.5,5.4596,0.000569437,,
B2-2,B2-2,2,blank sand,,55%,2.05,y,15.01,0.05,15,2/21/23,,1:45,10.52545455,10.1,22.1,5.4596,0.000378278,,
31,76,2,Control,Surface,55%,2.05,y,15.01,0.05,15,2/21/23,2:05,,10.52545455,9.947,23.6,5.4596,0.000514312,,
32,77,2,Control,Surface,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.52545455,9.832,23.4,5.4596,0.000616561,,
33,78,2,Control,Surface,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.52545455,9.933,23.6,5.4596,0.00052676,,
34,79,2,Control,Surface,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.52545455,9.942,23.1,5.4596,0.000518758,,
35,80,2,Control,Surface,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.52545455,9.893,23.3,5.4596,0.000562325,,
36,81,2,Control,1 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.52545455,9.826,23,5.4596,0.000621895,,
37,82,2,Control,1 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.52545455,9.848,23.1,5.4596,0.000602335,,
38,83,2,Control,1 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.52545455,9.815,23,5.4596,0.000631675,,
39,84,2,Control,1 cm,55%,2.05,y,15.02,0.05,15,2/21/23,,,10.52545455,9.903,23.1,5.4596,0.000553433,,
40,85,2,Control,1 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.52545455,9.837,23.1,5.4596,0.000612115,,
41,86,2,Control,5 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.52545455,9.939,22.6,5.4596,0.000521425,,
42,87,2,Control,5 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.52545455,9.894,22.9,5.4596,0.000561435,,
43,88,2,Control,5 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.52545455,9.884,23,5.4596,0.000570327,,
44,89,2,Control,5 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.52545455,9.826,22.7,5.4596,0.000621895,,
45,90,2,Control,5 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.52545455,9.982,22.5,5.4596,0.000483193,,blank
B3-2,B3-2,2,blank sand,,55%,2.05,y,14.99,0.05,15,2/21/23,,2:38,10.52545455,10.01,22.6,5.4596,0.000458298,,0.000438145
,,,,,,,,,,,,,,,,,,,,
"for rep2 of the experiment, I used 5g soil and 250 ml of water for vortex because there was a big aggregate I can’t break up – it turned out to be a rock, and the soil has a lot of particulate this time, like pieces of chars and little sticks, I added all the soil solution into the inoculant in the end",,,,,,,,,,,,,,,,,,,,
I also filtered twice just in case some particles might leak from the top edge of the filter paper,,,,,,,,,,,,,,,,,,,,
