"","SampleID","HF","Depth","sample_mass_g","mg_C_per_sample","g_of_sample_mass","C_loss_as_CO2","week","mg_CO2C_per_sample","mineralizability","frac_C_remained"
"1","1","High","Surface",15,5.812008694041,79.9293,0,"0",0,0,1
"2","2","High","Surface",15.01,7.29523833664,79.936,0,"0",0,0,1
"3","3","High","Surface",15,7.170989464278,79.9462,0,"0",0,0,1
"4","4","High","Surface",14.99,6.8146703101575,79.9421,0,"0",0,0,1
"5","5","High","Surface",15.01,9.275536711414,79.9132,0,"0",0,0,1
"6","6","High","1 cm",15.01,6.621216277342,80.0126,0,"0",0,0,1
"7","7","High","1 cm",15,6.269465863646,80.0108,0,"0",0,0,1
"8","8","High","1 cm",15,7.47493446916,80.0048,0,"0",0,0,1
"9","9","High","1 cm",15.01,8.8062283291815,80.0079,0,"0",0,0,1
"10","10","High","1 cm",15.01,7.442896933233,80.0091,0,"0",0,0,1
"11","11","High","5 cm",15,467.765705673567,80.7318,0,"0",0,0,1
"12","12","High","5 cm",14.99,490.023153477871,80.7326,0,"0",0,0,1
"13","13","High","5 cm",14.99,482.641262526843,80.7282,0,"0",0,0,1
"14","14","High","5 cm",14.99,471.187206362453,80.7362,0,"0",0,0,1
"15","15","High","5 cm",15.01,453.942644224568,80.7316,0,"0",0,0,1
"17","16","Low","Surface",15,66.9359332921265,80.0597,0,"0",0,0,1
"18","17","Low","Surface",15,57.5552743843665,80.0639,0,"0",0,0,1
"19","18","Low","Surface",15.01,58.177099372644,80.0604,0,"0",0,0,1
"20","19","Low","Surface",15,69.594211836765,80.0667,0,"0",0,0,1
"21","20","Low","Surface",15.01,63.9391802139855,80.0649,0,"0",0,0,1
"22","21","Low","1 cm",15.01,392.31800712963,80.5821,0,"0",0,0,1
"23","22","Low","1 cm",15,367.06187852338,80.5726,0,"0",0,0,1
"24","23","Low","1 cm",15.01,363.837539177348,80.5845,0,"0",0,0,1
"25","24","Low","1 cm",14.99,321.796911759561,80.5726,0,"0",0,0,1
"26","25","Low","1 cm",14.99,376.528062826892,80.5715,0,"0",0,0,1
"27","26","Low","5 cm",15.01,765.32772976509,80.9535,0,"0",0,0,1
"28","27","Low","5 cm",15,770.427604482291,80.9361,0,"0",0,0,1
"29","28","Low","5 cm",15.01,774.408944938255,80.9435,0,"0",0,0,1
"30","29","Low","5 cm",15,777.6298067812,80.9524,0,"0",0,0,1
"31","30","Low","5 cm",15.01,769.116061377529,80.9513,0,"0",0,0,1
"33","31","Control","Surface",15.01,781.623063866952,80.9904,0,"0",0,0,1
"34","32","Control","Surface",14.99,774.665860569703,80.9957,0,"0",0,0,1
"35","33","Control","Surface",14.99,762.4007741146,80.9937,0,"0",0,0,1
"36","34","Control","Surface",14.99,798.125129606775,80.987,0,"0",0,0,1
"37","35","Control","Surface",15.01,772.739861994198,80.9879,0,"0",0,0,1
"38","36","Control","1 cm",14.99,793.386989797608,80.9959,0,"0",0,0,1
"39","37","Control","1 cm",15,768.583224259895,80.9954,0,"0",0,0,1
"40","38","Control","1 cm",15.01,797.33755634904,80.9892,0,"0",0,0,1
"41","39","Control","1 cm",15.02,787.84062546528,80.9856,0,"0",0,0,1
"42","40","Control","1 cm",15,766.449918282987,80.9873,0,"0",0,0,1
"43","41","Control","5 cm",15,791.87733451923,80.9989,0,"0",0,0,1
"44","42","Control","5 cm",15,799.744461446733,81.0049,0,"0",0,0,1
"45","43","Control","5 cm",14.99,783.862763637168,81.0072,0,"0",0,0,1
"46","44","Control","5 cm",15.01,772.897396772172,81.0012,0,"0",0,0,1
"47","45","Control","5 cm",14.99,813.18234471641,81.0033,0,"0",0,0,1
"16","1","High","Surface",15,5.812008694041,79.9293,0.00285813066666667,"2",15.2298922330133,2.6204180060206,-1.6204180060206
"210","2","High","Surface",15.01,7.29523833664,79.936,7.86106666666666e-05,"2",0.418642388452143,0.0573857040899583,0.942614295910042
"32","3","High","Surface",15,7.170989464278,79.9462,6.02576666666666e-05,"2",0.321158098057778,0.0447857439559232,0.955214256044077
"48","4","High","Surface",14.99,6.8146703101575,79.9421,5.65876666666666e-05,"2",0.301783649595285,0.0442844093492632,0.955715590650737
"51","5","High","Surface",15.01,9.275536711414,79.9132,8.87046666666666e-05,"2",0.472263408945148,0.0509149414894778,0.949085058510522
"61","6","High","1 cm",15.01,6.621216277342,80.0126,2.63056666666667e-05,"2",0.140225501980902,0.0211782089735926,0.978821791026407
"71","7","High","1 cm",15,6.269465863646,80.0108,-5.53643333333334e-05,"2",-0.295316306764445,-0.0471039021803851,1.04710390218039
"81","8","High","1 cm",15,7.47493446916,80.0048,-3.0593333333334e-06,"2",-0.0163174234311115,-0.00218295203769795,1.0021829520377
"91","9","High","1 cm",15.01,8.8062283291815,80.0079,8.87066666666666e-06,"2",0.0472833718587608,0.00536931023036006,0.99463068976964
"101","10","High","1 cm",15.01,7.442896933233,80.0091,-1.22333333333333e-06,"2",-0.00652083937375083,-0.000876115769470738,1.00087611576947
"111","11","High","5 cm",15,467.765705673567,80.7318,0.000553946666666667,"2",2.9814074336,0.00637371957250879,0.993626280427491
"121","12","High","5 cm",14.99,490.023153477871,80.7326,0.000608086666666667,"2",3.27501118247721,0.00668338048770404,0.993316619512296
"131","13","High","5 cm",14.99,482.641262526843,80.7282,0.000523664666666667,"2",2.82018051658439,0.00584322298060361,0.994156777019396
"141","14","High","5 cm",14.99,471.187206362453,80.7362,0.000606251666666667,"2",3.26527390329108,0.0069298865911468,0.993070113408853
"151","15","High","5 cm",15.01,453.942644224568,80.7316,0.000609921666666667,"2",3.28047648398845,0.00722663209928693,0.992773367900713
"171","16","Low","Surface",15,66.9359332921265,80.0597,-2.14133333333337e-06,"2",-0.0114289669511113,-0.000170744865859003,1.00017074486586
"181","17","Low","Surface",15,57.5552743843665,80.0639,0.000126327666666667,"2",0.674285711415555,0.011715446040836,0.988284553959164
"191","18","Low","Surface",15.01,58.177099372644,80.0604,9.14576666666666e-05,"2",0.48781728023984,0.00838503956883799,0.991614960431162
"201","19","Low","Surface",15,69.594211836765,80.0667,0.000155692666666667,"2",0.83105320228,0.0119414126598525,0.988058587340148
"211","20","Low","Surface",15.01,63.9391802139855,80.0649,3.18116666666666e-05,"2",0.169686736209194,0.00265387725712626,0.997346122742874
