sampleID_original,rep,HF,depth,mass sample,mass water,pH (small probe),,pH
1,1,High,Surface,0.5,0.49,6.97,7.3,7.135
2,1,High,Surface,0.5,0.5,7.53,7.17,7.35
3,1,High,Surface,0.51,0.5,7.07,7.15,7.11
4,1,High,Surface,0.5,0.5,6.91,7,6.955
5,1,High,Surface,0.5,0.5,7.21,7,7.105
6,1,High,1 cm,0.5,0.5,7.28,7.26,7.27
7,1,High,1 cm,0.5,0.49,7.9,7.34,7.62
8,1,High,1 cm,0.5,0.5,7.35,7.25,7.3
9,1,High,1 cm,0.5,0.49,7.36,7.34,7.35
10,1,High,1 cm,0.51,0.5,7.36,7.26,7.31
11,1,High,5 cm,0.5,0.49,6.57,6.51,6.54
12,1,High,5 cm,0.5,0.5,6.56,6.38,6.47
13,1,High,5 cm,0.5,0.5,6.4,6.26,6.33
14,1,High,5 cm,0.5,0.49,6.52,6.51,6.515
15,1,High,5 cm,0.5,0.5,6.51,6.2,6.355
16,1,Low,Surface,0.49,0.5,6.95,6.99,6.97
17,1,Low,Surface,0.5,0.5,6.86,6.77,6.815
18,1,Low,Surface,0.5,0.5,6.92,7,6.96
19,1,Low,Surface,0.5,0.5,6.7,6.67,6.685
20,1,Low,Surface,0.5,0.5,6.75,6.92,6.835
21,1,Low,1 cm,0.5,0.49,6.33,6.45,6.39
22,1,Low,1 cm,0.49,0.5,6.45,6.35,6.4
23,1,Low,1 cm,0.5,0.49,6.54,6.38,6.46
24,1,Low,1 cm,0.5,0.5,6.41,6.36,6.385
25,1,Low,1 cm,0.5,0.5,6.44,6.43,6.435
26,1,Low,5 cm,0.5,0.49,6.74,6.76,6.75
27,1,Low,5 cm,0.5,0.49,6.65,6.59,6.62
28,1,Low,5 cm,0.51,0.49,6.8,6.45,6.625
29,1,Low,5 cm,0.5,0.5,6.62,6.58,6.6
30,1,Low,5 cm,0.51,0.5,6.73,6.72,6.725
31,1,Control,Surface,0.5,0.5,6.79,6.8,6.795
32,1,Control,Surface,0.5,0.5,6.79,6.79,6.79
33,1,Control,Surface,0.5,0.49,6.76,6.75,6.755
34,1,Control,Surface,0.5,0.49,6.75,6.77,6.76
35,1,Control,Surface,0.51,0.49,6.76,6.69,6.725
36,1,Control,1 cm,0.5,0.49,6.85,6.82,6.835
37,1,Control,1 cm,0.5,0.49,6.86,6.86,6.86
38,1,Control,1 cm,0.5,0.5,6.72,6.77,6.745
39,1,Control,1 cm,0.5,0.49,6.85,6.72,6.785
40,1,Control,1 cm,0.5,0.5,6.88,6.74,6.81
41,1,Control,5 cm,0.5,0.5,6.85,6.84,6.845
42,1,Control,5 cm,0.51,0.49,6.75,6.66,6.705
43,1,Control,5 cm,0.5,0.49,6.78,6.78,6.78
44,1,Control,5 cm,0.5,0.49,6.82,6.75,6.785
45,1,Control,5 cm,0.5,0.5,6.74,6.68,6.71
B,,,,0.5,0.5,6.6,6.75,6.675
